code	naicsName	shortName
3371	Household and Institutional Furniture and Kitchen Cabinet Manufacturing	HouseholdInstitutional
3372	Office Furniture (including Fixtures) Manufacturing	OfficeFurniture
3379	Other Furniture Related Product Manufacturing	FurnitureRelated
3391	Medical Equipment and Supplies Manufacturing	MedicalEquipment
3399	Other Miscellaneous Manufacturing	Miscellaneous
4231	Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers	MotorVehicle
4232	Furniture and Home Furnishing Merchant Wholesalers	FurnitureHome
4233	Lumber and Other Construction Materials Merchant Wholesalers	Lumber
4234	Professional and Commercial Equipment and Supplies Merchant Wholesalers	ProfessionalCommercial
4235	Metal and Mineral (except Petroleum) Merchant Wholesalers	MetalMineral
4236	Household Appliances and Electrical and Electronic Goods Merchant Wholesalers	HouseholdAppliances
4237	Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers	Hardware
4238	Machinery, Equipment, and Supplies Merchant Wholesalers	Machinery
4239	Miscellaneous Durable Goods Merchant Wholesalers	DurableGoods
4241	Paper and Paper Product Merchant Wholesalers	PaperPaper
4242	Drugs and Druggists' Sundries Merchant Wholesalers	DrugsDruggists'
4243	Apparel, Piece Goods, and Notions Merchant Wholesalers	Apparel
4244	Grocery and Related Product Merchant Wholesalers	Grocery
4245	Farm Product Raw Material Merchant Wholesalers	FarmProduct
4246	Chemical and Allied Products Merchant Wholesalers	ChemicalAllied
4247	Petroleum and Petroleum Products Merchant Wholesalers	PetroleumPetroleum
4248	Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers	Beer
4249	Miscellaneous Nondurable Goods Merchant Wholesalers	NondurableGoods
4251	Wholesale Trade Agents and Brokers	WholesaleTrade
4411	Automobile Dealers	AutomobileDealers
4412	Other Motor Vehicle Dealers	MotorVehicle
4413	Automotive Parts, Accessories, and Tire Retailers	AutomotiveParts
4441	Building Material and Supplies Dealers	BuildingMaterial
4442	Lawn and Garden Equipment and Supplies Retailers	LawnGarden
4451	Grocery and Convenience Retailers	GroceryConvenience
4452	Specialty Food Retailers	SpecialtyFood
4453	Beer, Wine, and Liquor Retailers	Beer
4491	Furniture and Home Furnishings Retailers	FurnitureHome
4492	Electronics and Appliance Retailers	ElectronicsAppliance
4551	Department Stores	DepartmentStores
4552	Warehouse Clubs, Supercenters, and Other General Merchandise Retailers	WarehouseClubs
4561	Health and Personal Care Retailers	HealthPersonal
4571	Gasoline Stations	GasolineStations
4572	Fuel Dealers	FuelDealers
4581	Clothing and Clothing Accessories Retailers	ClothingClothing
4582	Shoe Retailers	ShoeRetailers
4583	Jewelry, Luggage, and Leather Goods Retailers	Jewelry
4591	Sporting Goods, Hobby, and Musical Instrument Retailers	SportingGoods
4592	Book Retailers and News Dealers	BookRetailers
4593	Florists	Florists
4594	Office Supplies, Stationery, and Gift Retailers	OfficeSupplies
4595	Used Merchandise Retailers	UsedMerchandise
4599	Other Miscellaneous Retailers	Retailers
4811	Scheduled Air Transportation	ScheduledAir
4812	Nonscheduled Air Transportation	NonscheduledAir
4821	Rail Transportation	RailTransportation
4831	Deep Sea, Coastal, and Great Lakes Water Transportation	DeepSea
4832	Inland Water Transportation	InlandWater
