code	name	shortFileName	action	object
221121	Electric Bulk Power Transmission and Control	ElectricBulk	Generate	Electric Bulk
221122	Electric Power Distribution	ElectricPower	Generate	Electric Power
221210	Natural Gas Distribution	NaturalGas	Distribute	Natural Gas
221310	Water Supply and Irrigation Systems	WaterSupply	Supply	Water Supply
221320	Sewage Treatment Facilities	SewageTreatment	Supply	Sewage Treatment
221330	Steam and Air-Conditioning Supply	SteamAir-Conditioning	Supply	Steam Air-Conditioning
236115	New Single-Family Housing Construction (except For-Sale Builders)	NewSingle-Family	Build	New Single-Family
236116	New Multifamily Housing Construction (except For-Sale Builders)	NewMultifamily	Build	New Multifamily
236117	New Housing For-Sale Builders	NewHousing	Build	New Housing
236118	Residential Remodelers	ResidentialRemodelers	Build	Residential Remodelers
236210	Industrial Building Construction	IndustrialBuilding	Build	Industrial Building
236220	Commercial and Institutional Building Construction	CommercialInstitutional	Build	Commercial Institutional
237110	Water and Sewer Line and Related Structures Construction	WaterSewer	Install	Water Sewer
237120	Oil and Gas Pipeline and Related Structures Construction	OilGas	Install	Oil Gas
237130	Power and Communication Line and Related Structures Construction	PowerCommunication	Install	Power Communication
237210	Land Subdivision	LandSubdivision	Subdivide	Land Subdivision
237310	Highway, Street, and Bridge Construction	Highway	Build	Highway
237990	Other Heavy and Civil Engineering Construction	HeavyCivil	Build	Heavy Civil
238110	Poured Concrete Foundation and Structure Contractors	PouredConcrete	Install	Poured Concrete
238120	Structural Steel and Precast Concrete Contractors	StructuralSteel	Install	Structural Steel
238130	Framing Contractors	FramingContractors	Install	Framing Contractors
238140	Masonry Contractors	MasonryContractors	Install	Masonry Contractors
238150	Glass and Glazing Contractors	GlassGlazing	Install	Glass Glazing
238160	Roofing Contractors	RoofingContractors	Install	Roofing Contractors
238170	Siding Contractors	SidingContractors	Install	Siding Contractors
238190	Other Foundation, Structure, and Building Exterior Contractors	Foundation	Install	Foundation
238210	Electrical Contractors and Other Wiring Installation Contractors	ElectricalContractors	Install	Electrical Contractors
238220	Plumbing, Heating, and Air-Conditioning Contractors	Plumbing	Install	Plumbing
238290	Other Building Equipment Contractors	BuildingEquipment	Install	Building Equipment
238310	Drywall and Insulation Contractors	DrywallInsulation	Finish	Drywall Insulation
238320	Painting and Wall Covering Contractors	PaintingWall	Finish	Painting Wall
238330	Flooring Contractors	FlooringContractors	Finish	Flooring Contractors
238340	Tile and Terrazzo Contractors	TileTerrazzo	Finish	Tile Terrazzo
238350	Finish Carpentry Contractors	FinishCarpentry	Finish	Finish Carpentry
238390	Other Building Finishing Contractors	BuildingFinishing	Finish	Building Finishing
238910	Site Preparation Contractors	SitePreparation	Contract	Site Preparation
238990	All Other Specialty Trade Contractors	SpecialtyTrade	Contract	Specialty Trade
311111	Dog and Cat Food Manufacturing	DogCat	Manufacture	Dog Cat
311119	Other Animal Food Manufacturing	AnimalFood	Manufacture	Animal Food
311211	Flour Milling	FlourMilling	Mill	Flour Milling
311212	Rice Milling	RiceMilling	Mill	Rice Milling
311213	Malt Manufacturing	Malt	Mill	Malt
311221	Wet Corn Milling and Starch Manufacturing	WetCorn	Mill	Wet Corn
311224	Soybean and Other Oilseed Processing	Soybean	Mill	Soybean
311225	Fats and Oils Refining and Blending	FatsOils	Mill	Fats Oils
311230	Breakfast Cereal Manufacturing	BreakfastCereal	Mill	Breakfast Cereal
311313	Beet Sugar Manufacturing	BeetSugar	Manufacture	Beet Sugar
311314	Cane Sugar Manufacturing	CaneSugar	Manufacture	Cane Sugar
311340	Nonchocolate Confectionery Manufacturing	NonchocolateConfectionery	Manufacture	Nonchocolate Confectionery
311351	Chocolate and Confectionery Manufacturing from Cacao Beans	ChocolateConfectionery	Manufacture	Chocolate Confectionery
311352	Confectionery Manufacturing from Purchased Chocolate	ConfectioneryManufacturing	Manufacture	Confectionery Manufacturing
